Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount,Store_Location,Payment_Method,Customer_Type,Discount_Applied,Final_Amount,Day_of_the_Week,Sales_Representative,Total_Amount_Normalized,Final_Amount_Normalized
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,Miami,Credit Card,Returning,10.93,133.60500000000002,Friday,Kathryn Baker,0.050505050505050504,0.045891555860801236
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,Los Angeles,Debit Card,Returning,10.87,891.3,Monday,Tara Herrera,0.3939393939393939,0.3520015756063811
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,Houston,Mobile Payment,Returning,14.1,25.77,Friday,Russell Dunn,0.00202020202020202,0.002326039420459653
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,Los Angeles,Cash,Returning,6.13,469.35,Sunday,Kevin Mitchell,0.1919191919191919,0.1815330852089951
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,Boston,Cash,VIP,0.01,99.99,Saturday,Kathryn Baker,0.030303030303030304,0.03231104085971548
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,Los Angeles,Cash,New,9.32,27.204,Tuesday,Sarah Farley,0.00202020202020202,0.0029053777667799557
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,Boston,Credit Card,Returning,18.99,40.505,Monday,Joyce Barnes,0.010101010101010102,0.008279003529964296
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,Chicago,Credit Card,VIP,13.84,86.16,Wednesday,Joyce Barnes,0.030303030303030304,0.02672369823097783
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,San Francisco,Debit Card,VIP,13.65,518.0999999999999,Wednesday,Mr. Timothy Kent Jr.,0.23232323232323232,0.2012281649740681
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,Houston,Debit Card,Returning,3.72,192.56,Saturday,Russell Dunn,0.0707070707070707,0.06970947232336291
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,Los Angeles,Mobile Payment,New,18.8,81.2,Tuesday,David Nguyen,0.030303030303030304,0.024719850115392964
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,Seattle,Cash,VIP,18.99,60.7575,Monday,Lisa Riley,0.020202020202020204,0.016461046667239004
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,Seattle,Debit Card,Returning,14.25,1286.25,Saturday,Kevin Mitchell,0.5959595959595959,0.5115620218261884
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,Houston,Mobile Payment,New,0.8,119.04,Tuesday,Nicholas Wolf,0.03838383838383838,0.040007272029451715
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,New York,Mobile Payment,New,16.25,1675.0,Monday,David Saunders,0.797979797979798,0.6686176579015144
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,New York,Debit Card,New,3.38,1449.3,Friday,Joyce Barnes,0.5959595959595959,0.5774344886096788
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,Houston,Cash,Returning,15.04,84.96000000000001,Saturday,Benjamin Martinez,0.030303030303030304,0.026238896267529885
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,Miami,Mobile Payment,Returning,19.5,40.25,Sunday,Tara Herrera,0.010101010101010102,0.008175983112731607
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,San Francisco,Debit Card,VIP,3.4,48.3,Saturday,Tara Herrera,0.010101010101010102,0.011428196284194949
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,San Francisco,Debit Card,New,3.0,873.0,Sunday,Richard Harris,0.35353535353535354,0.3446083456637999
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,San Francisco,Debit Card,Returning,8.86,455.7,Saturday,Donna Lewis,0.1919191919191919,0.17601846287477463
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,New York,Debit Card,VIP,12.58,87.42,Sunday,Wendy Owens MD,0.030303030303030304,0.027232740292598184
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,Miami,Debit Card,VIP,6.75,111.9,Wednesday,Mr. Timothy Kent Jr.,0.03838383838383838,0.037122700346936405
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,New York,Mobile Payment,VIP,17.94,246.18,Wednesday,Sarah Farley,0.1111111111111111,0.09137204005676224
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,Chicago,Debit Card,VIP,19.51,40.245,Tuesday,Steven Ramsey,0.010101010101010102,0.008173963104550572
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,Miami,Cash,VIP,17.99,820.1,Saturday,Mr. Timothy Kent Jr.,0.3939393939393939,0.3232366591084694
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,Miami,Credit Card,VIP,2.48,48.76,Thursday,Wendy Owens MD,0.010101010101010102,0.011614037036849998
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,Houston,Credit Card,VIP,3.44,482.8,Sunday,Kevin Mitchell,0.1919191919191919,0.18696690721597423
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,Miami,Credit Card,Returning,18.79,24.363,Friday,Nicholas Wolf,0.00202020202020202,0.0017576091183169292
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,Chicago,Debit Card,New,6.73,839.43,Sunday,Thomas Jackson,0.35353535353535354,0.33104601073634343
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,San Francisco,Credit Card,New,16.94,996.72,Tuesday,Thomas Jackson,0.47474747474747475,0.39459142809528375
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,Boston,Mobile Payment,VIP,6.64,84.024,Wednesday,Joyce Barnes,0.026262626262626262,0.025860750736040477
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,Miami,Credit Card,Returning,5.58,94.42,Thursday,Kevin Mitchell,0.030303030303030304,0.03006075174604457
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,Chicago,Debit Card,VIP,11.81,132.285,Sunday,Donna Lewis,0.050505050505050504,0.045358273701008485
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,Miami,Credit Card,VIP,0.1,899.1,Saturday,Russell Dunn,0.35353535353535354,0.3551527883687929
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,Chicago,Debit Card,VIP,10.86,802.26,Saturday,Mr. Timothy Kent Jr.,0.35353535353535354,0.31602926991854313
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,Los Angeles,Cash,New,11.11,66.6675,Tuesday,Donna Lewis,0.020202020202020204,0.018848696337220163
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,New York,Debit Card,New,19.45,161.1,Tuesday,Tara Herrera,0.0707070707070707,0.056999580848302436
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,Seattle,Debit Card,Returning,11.59,106.092,Friday,Billy Hamilton,0.03838383838383838,0.034776258843848315
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,New York,Mobile Payment,New,7.04,46.48,Thursday,Mr. Timothy Kent Jr.,0.010101010101010102,0.010692913306298889
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,New York,Mobile Payment,Returning,19.03,40.485,Wednesday,Kevin Mitchell,0.010101010101010102,0.008270923497240163
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,Los Angeles,Mobile Payment,New,16.33,753.03,Friday,Sarah Farley,0.35353535353535354,0.2961402693680909
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,Boston,Mobile Payment,New,13.71,258.87,Friday,Philip Mcbride,0.1111111111111111,0.09649882082022432
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,Seattle,Credit Card,New,18.56,20.36,Sunday,Joyce Barnes,0.0,0.0001403905685818028
